Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,,,,,,,ACTIVE,,,,,,
,Legislative,,,,Precincts,,,,,,,,Other,TOTAL
,,,,,,Americans Elect,,,,Democratic,Libertarian,Republican,,
,,Legislative District 29,,,,,,,,,,,,
,,,,,,10,,,,"26,067",819,"13,822",,
,,,Maricopa,,33,,,,,,,,"27,654","68,372"
,,,,,33,,,,,,,,"27,654","68,372"
,,,,TOTALS,,10,,,,"26,067",819,"13,822",,
,,Legislative District 30,,,,,,,,,,,,
,,,,,,6,,,,"25,078",782,"14,932",,
,,,Maricopa,,29,,,,,,,,"26,536","67,334"
,,,,,29,,,,,,,,"26,536","67,334"
,,,,TOTALS,,6,,,,"25,078",782,"14,932",,
,,,,STATE TOTALS,,433,,,,"936,417","26,589","1,114,713",,
,,,,,"1,566",,,,,,,,"1,157,811","3,235,963"
Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,Page Number 6,,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,INACTIVE,,,,,,,,,
,,Precincts,Date/Period,,,,,,,,Other,TOTAL,,
,,,,Americans ,,,Democratic,Green,Libertarian,Republican,,,,
,,,,0,,,"2,636",13,22,978,,,,
,Apache,45,G.E. 2012,,,,,,,,"1,347","4,996",,
,,,,0,,,"2,921",*,31,"1,059",,,,
,,45,P.E. 2014,,,,,,,,"1,735","5,746",,
,,,,0,,,"2,683",*,31,"1,026",,,,
,,45,G.E. 2014,,,,,,,,"1,613","5,353",,
,,,,1,,,723,8,12,694,,,,
,Cochise,49,G.E. 2012,,,,,,,,992,"2,430",,
,,,,3,,,"2,706",*,83,"3,368",,,,
,,49,P.E. 2014,,,,,,,,"4,739","10,899",,
,,,,2,,,"2,584",*,80,"3,180",,,,
,,49,G.E. 2014,,,,,,,,"4,553","10,399",,
,,,,0,,,"5,068",108,267,"3,118",,,,
